tweet,username,date,hashtags,likes,retweets,url
@POTUS The votes u got in 2020 only because ppl want to live and Trump's terrible performance during covid pandemic… https://t.co/N5dxnKfEk2,Lilianny2020,Mon Feb 22 17:42:36 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907052964220928
"Biden news  Supreme Court says Trump must release tax records as president to mark 500,000 Covid deaths. So it look… https://t.co/5WuLuu85qU",brianwa98877741,Mon Feb 22 17:41:51 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363906864216498176
i keep seeing ppl keep talking about how covid #’s suddenly down like it’s a conspiracy since trump left office. as… https://t.co/giR4vYhl8X,_vtrannn,Mon Feb 22 17:36:46 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905586572759040
"Wow, I don't even know where to begin. 1. Trump did NOTHING for COVID relief, that was pushed through the by the De… https://t.co/Ttxyy0Z12v",Julia_In_FL,Mon Feb 22 17:35:27 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905255784783882
It seems the media news is repeating stories over and over. They push the same trump hate or biden covid excuses. I… https://t.co/ZWaqlAnRuh,wGpyP1xANtJZrFs,Mon Feb 22 17:30:58 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363904125692481539
"Beltway Insider: Biden’s Rescue Plan, Trump, Texas, COVID, Vaccine, Immigration, Khashoggi, MARS https://t.co/Oq9dwKfWPS",JanetWa94118686,Mon Feb 22 17:29:09 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363903667758190592
HEADLINE: Covid: Trump's chief of staff admits US cannot control pandemic : https://t.co/O9fpelI9Ty #Scrummyninja… https://t.co/KU1HPmCyWo,vegasnewsninja,Mon Feb 22 17:26:05 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363902895503011841
"Beltway Insider: Biden’s Rescue Plan, Trump, Texas, COVID, Vaccine, Immigration, Khashoggi, MARS https://t.co/DFkYRxIi1D",JanetWa94118686,Mon Feb 22 17:25:03 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363902636374724609
"Trump Admin COVID Vaccine WORKING But Fauci Says NO NORMAL Til 2022, Med... https://t.co/UYEz7ghZjL via @YouTube",townerman1,Mon Feb 22 17:23:47 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363902318324768773
"The truth is kids aren’t in school &amp; 500,000 Americans will die from Covid
because Trump &amp; his crew were dishonest… https://t.co/Awk6voy4mh",suecorman,Mon Feb 22 17:19:34 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363901255857414146
