tweet,username,date,likes,retweets,url,cluster
@KellyO Your trying to make the covid-19 rescue plan cheaper? By how much? I'll be willing to renegotiate... If it'll help our country...,WilliamChagoll2,Mon Feb 22 17:45:43 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907837034778626,0.0
@SteveHiltonx I’ve been working in school throughout.Whilst the unions views haven’t always been helpful or true of… https://t.co/JjKO65aRPE,04_Karen_04,Mon Feb 22 17:45:40 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907824187822083,0.0
"Air passengers coming from Kerala, Maharashtra to be tasted for Covid-19 https://t.co/xIoco7qYcp",pothashang,Mon Feb 22 17:45:15 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907719388831748,0.0
@ruthmkb @IrfanDhalla I have followed the same pandemic protocols for the last 10 monthes. I don't listen to any ca… https://t.co/2wSWC2Lx6a,LJMW169,Mon Feb 22 17:45:03 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907669329907714,0.0
"🌍 Worldwide Coronavirus Statistics
Confirmed Cases: 112,100,856 (+146,604)
Recovered: 87,493,983
Deaths: 2,480,676… https://t.co/KmSFqOyQHV",CovidTweet,Mon Feb 22 17:44:57 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907644860362758,0.0
"Apparently I have a fever the entire day. 37.7C does not sound THAT bad, but since I don’t develop fever usually it… https://t.co/ClorZJ13I2",NathanSilkwood,Mon Feb 22 17:44:08 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907440622903302,0.0
@CTVNews Simple truths - The PCR tests are known to return false positives as per the World Health Organization.  T… https://t.co/RbN3KlDMXq,googoo4gaga6,Mon Feb 22 17:43:56 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907390626758656,0.0
@TheModernLeper And if cases shoot up again I just know they’re going to keep pushing ahead with the timetable anyw… https://t.co/NfoACxhImX,KorgTheBronan,Mon Feb 22 17:43:32 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907289875427340,0.0
"In Utah I do not fall into the first 5 groups with my age (63) and underlying heart condition (dilated aorta), and… https://t.co/ZKVz7gcXlR",DLo5705,Mon Feb 22 17:42:45 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907091119808519,0.0
"@videocelts Do you think this pandemic arrived by accident Joe?

This goes way beyond the Tories and / or the current UK Gov.",StefanoSix7,Mon Feb 22 17:42:20 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363906987705184256,0.0
